ID_Transaccion,Fecha,Cliente_Edad,Cliente_Genero,Pais,Marca,Categoria,Plataforma_Cashback,Canal_Integracion,Monto_Compra,Porcentaje_Devolucion
TRX-2026-0001,2025-07-21,37.0,F,España,Apple,Tecnología,Letyshops,Extensión Navegador,673.37,
TRX-2026-0002,2026-02-14,,No binario,Alemania,Vueling,Viajes,Letyshops,Web/Enlace Directo,450.43,"5,2%"
TRX-2026-0003,2026-03-24,39.0,No binario,Francia,Amazon,tecnología,Letyshops,Extensión Navegador,863.2,"1,7%"
TRX-2026-0004,2026-05-22,46.0,No binario,Francia,Iberia,Viajes,iGraal,Web/Enlace Directo,247.11,0.0551
TRX-2026-0005,2025-07-10,32.0,F,Italia,PcComponentes,Tecnología,Letyshops,Extensión Navegador,366.91,0.0191
TRX-2026-0006,2025-06-19,32.0,No binario,Reino Unido,Vueling,Viajes,Letyshops,Web/Enlace Directo,495.6,"3,7%"
TRX-2026-0007,2025-06-28,46.0,M,Italia,Expedia,Viajes,iGraal,App Móvil,308.66,0.0326
TRX-2026-0008,2025-10-01,40.0,M,Reino Unido,Dia,Alimentación,Awin_Affiliate,Extensión Navegador,31.03,"3,7%"
TRX-2026-0009,2026-02-21,30.0,F,Alemania,Carrefour,Alimentación,iGraal,Extensión Navegador,24.93,0.0248
TRX-2026-0010,2025-10-17,38.0,No binario,España,Booking,Viajes,Awin_Affiliate,Web/Enlace Directo,273.9,"4,2%"
TRX-2026-0011,2025-09-30,30.0,F,Alemania,Renfe,Viajes,Letyshops,Extensión Navegador,293.13,0.0365
TRX-2026-0012,2025-10-06,30.0,F,España ,Amazon,Tecnología,Letyshops,Extensión Navegador,247.15,"2,1%"
TRX-2026-0013,2026-04-10,35.0,F,Reino Unido,Dia,Alimentación,Awin_Affiliate,Web/Enlace Directo,71.71,"3,3%"
TRX-2026-0014,2026-01-05,,M,Reino Unido,MediaMarkt,Tecnología,Revolut_Rewards,Extensión Navegador,253.2,"1,1%"
TRX-2026-0015,2025-06-16,20.0,No binario,espana,Nike,Moda,iGraal,App Móvil,33.86,0.0543
TRX-2026-0016,2025-08-22,29.0,M,España ,Just Eat,Alimentación,Letyshops,Extensión Navegador,21.3,0.0329
TRX-2026-0017,2025-07-18,25.0,F,espana,Uber Eats,Alimentación,iGraal,Extensión Navegador,27.45,"3,6%"
TRX-2026-0018,2025-10-30,36.0,No binario,España ,Vueling,Viajes,iGraal,Extensión Navegador,608.03,"6,4%"
TRX-2026-0019,2026-03-21,26.0,M,España ,Uber Eats,Alimentación,Revolut_Rewards,App Móvil,42.5,0.0487
TRX-2026-0020,2025-08-21,22.0,No binario,Alemania,Renfe,Viajes,iGraal,Extensión Navegador,412.98,0.0501
TRX-2026-0021,2026-03-10,45.0,F,Alemania,Expedia,viajes,Revolut_Rewards,Extensión Navegador,616.71,0.0528
TRX-2026-0022,2025-08-28,32.0,No binario,España ,Apple,Tecnología,Awin_Affiliate,Extensión Navegador,268.43,0.0126
TRX-2026-0023,2025-10-22,34.0,No binario,Alemania,Booking,Viajes,Letyshops,Web/Enlace Directo,231.16,0.0673
TRX-2026-0024,2025-09-08,22.0,No binario,España,Vueling,Viajes,Awin_Affiliate,Web/Enlace Directo,139.04,"6,5%"
TRX-2026-0025,2026-02-26,29.0,No binario,España,Sephora,Moda,Awin_Affiliate,Web/Enlace Directo,86.07,0.0943
TRX-2026-0026,2025-12-25,34.0,F,Reino Unido,Apple,Tecnología,Revolut_Rewards,Web/Enlace Directo,646.87,"2,1%"
TRX-2026-0027,2026-05-26,24.0,M,Alemania,Zara,Moda,Letyshops,Extensión Navegador,63.53,0.0939
TRX-2026-0028,2026-02-06,37.0,No binario,espana,Fnac,Tecnología,Revolut_Rewards,Web/Enlace Directo,684.55,"2,9%"
